name,method,resolution_A,mol_weight_Da,mol_weight_kDa,n_polymer_chains,q_score
7dfg,ELECTRON MICROSCOPY,2.70,170200.0,170.20,6,NA
7dfh,ELECTRON MICROSCOPY,2.97,167687.6,167.69,6,NA
7dmq,ELECTRON MICROSCOPY,3.06,197146.8,197.15,3,NA
7doi,ELECTRON MICROSCOPY,2.60,169894.8,169.89,6,NA
7dok,ELECTRON MICROSCOPY,2.73,175343.1,175.34,6,NA
7ed5,ELECTRON MICROSCOPY,2.98,187432.0,187.43,6,NA
7el9,ELECTRON MICROSCOPY,3.20,534292.0,534.29,6,NA
7ela,ELECTRON MICROSCOPY,3.40,270240.8,270.24,3,NA
7elc,ELECTRON MICROSCOPY,3.10,267146.0,267.15,3,NA
7elm,ELECTRON MICROSCOPY,2.88,753974.8,753.97,22,NA
7jzw,ELECTRON MICROSCOPY,3.20,364325.4,364.33,11,NA
7jzx,ELECTRON MICROSCOPY,3.40,360931.8,360.93,11,NA
7jzz,ELECTRON MICROSCOPY,3.20,380723.0,380.72,12,NA
7kjv,ELECTRON MICROSCOPY,2.80,137323.4,137.32,4,NA
7kjw,ELECTRON MICROSCOPY,2.90,137323.4,137.32,4,NA
7kjx,ELECTRON MICROSCOPY,3.10,131758.0,131.76,4,NA
7ld5,ELECTRON MICROSCOPY,3.07,259696.8,259.70,6,NA
7m4u,ELECTRON MICROSCOPY,2.71,789836.7,789.84,21,NA
7mqf,ELECTRON MICROSCOPY,2.88,200638.4,200.64,16,NA
7mqg,ELECTRON MICROSCOPY,3.25,200638.4,200.64,16,NA
7mqh,ELECTRON MICROSCOPY,3.10,200638.4,200.64,16,NA
7mqi,ELECTRON MICROSCOPY,3.21,200638.4,200.64,16,NA
7n0d,ELECTRON MICROSCOPY,2.50,332774.0,332.77,14,NA
7nha,ELECTRON MICROSCOPY,2.91,281907.0,281.91,5,NA
7nhc,ELECTRON MICROSCOPY,2.87,281907.0,281.91,5,NA
7nhx,ELECTRON MICROSCOPY,3.23,281907.0,281.91,5,NA
7nuq,ELECTRON MICROSCOPY,2.80,97363.4,97.36,5,NA
7oea,ELECTRON MICROSCOPY,2.70,258771.0,258.77,2,NA
7ogk,ELECTRON MICROSCOPY,3.40,234158.2,234.16,4,NA
7oi0,ELECTRON MICROSCOPY,2.76,627764.9,627.76,11,NA
7ojn,ELECTRON MICROSCOPY,2.92,275103.9,275.10,5,NA
7onu,ELECTRON MICROSCOPY,3.00,254679.5,254.68,7,NA
7orn,ELECTRON MICROSCOPY,2.80,278100.1,278.10,3,NA
7oro,ELECTRON MICROSCOPY,2.90,288879.5,288.88,5,NA
7q4o,ELECTRON MICROSCOPY,2.10,593191.4,593.19,10,NA
7q4p,ELECTRON MICROSCOPY,2.15,573231.3,573.23,8,NA
7qtl,ELECTRON MICROSCOPY,2.48,271977.1,271.98,6,NA
7r6q,ELECTRON MICROSCOPY,2.98,610348.8,610.35,19,NA
7rdx,ELECTRON MICROSCOPY,3.10,324021.0,324.02,8,NA
7re1,ELECTRON MICROSCOPY,2.91,324021.0,324.02,8,NA
7sbb,ELECTRON MICROSCOPY,3.10,455148.6,455.15,13,NA
7sp1,ELECTRON MICROSCOPY,3.40,695292.3,695.29,17,NA
7uob,ELECTRON MICROSCOPY,2.68,189550.1,189.55,6,NA
7uoe,ELECTRON MICROSCOPY,2.67,189590.1,189.59,6,NA
7uws,ELECTRON MICROSCOPY,3.47,763589.8,763.59,20,NA
7v93,ELECTRON MICROSCOPY,3.00,174496.4,174.50,2,NA
7wah,ELECTRON MICROSCOPY,2.45,205489.8,205.49,3,NA
7wv3,ELECTRON MICROSCOPY,2.26,460245.0,460.24,6,NA
7wve,ELECTRON MICROSCOPY,3.11,184216.4,184.22,4,NA
7x8a,ELECTRON MICROSCOPY,2.80,290778.0,290.78,3,NA
7xc7,ELECTRON MICROSCOPY,3.10,305602.9,305.60,4,NA
7xsp,ELECTRON MICROSCOPY,2.89,233884.3,233.88,3,NA
7xsq,ELECTRON MICROSCOPY,2.88,304114.9,304.11,3,NA
7xsr,ELECTRON MICROSCOPY,2.97,316434.3,316.43,4,NA
7xw2,ELECTRON MICROSCOPY,3.04,242291.1,242.29,2,NA
7y80,ELECTRON MICROSCOPY,2.71,234084.8,234.08,2,NA
7y81,ELECTRON MICROSCOPY,2.54,252182.6,252.18,3,NA
7y82,ELECTRON MICROSCOPY,2.83,252182.6,252.18,3,NA
7y83,ELECTRON MICROSCOPY,2.93,337705.7,337.71,4,NA
7y84,ELECTRON MICROSCOPY,2.61,319607.9,319.61,3,NA
7y85,ELECTRON MICROSCOPY,2.73,337705.7,337.71,4,NA
7y8t,ELECTRON MICROSCOPY,2.90,292142.8,292.14,3,NA
7y8y,ELECTRON MICROSCOPY,3.00,298017.4,298.02,4,NA
7y9x,ELECTRON MICROSCOPY,2.49,286055.9,286.06,3,NA
7y9y,ELECTRON MICROSCOPY,2.77,294803.2,294.80,4,NA
7yfq,ELECTRON MICROSCOPY,3.20,105711.9,105.71,3,NA
7yfx,ELECTRON MICROSCOPY,3.40,122667.2,122.67,2,NA
7yfy,ELECTRON MICROSCOPY,3.40,104907.1,104.91,3,NA
7ygn,ELECTRON MICROSCOPY,3.00,100113.2,100.11,2,NA
7ypw,ELECTRON MICROSCOPY,3.04,86345.1,86.35,2,NA
7zgp,ELECTRON MICROSCOPY,2.70,294424.4,294.42,5,NA
7zgr,ELECTRON MICROSCOPY,2.60,375417.5,375.42,6,NA
7znj,ELECTRON MICROSCOPY,2.40,784622.5,784.62,30,NA
7zol,ELECTRON MICROSCOPY,3.03,237108.2,237.11,3,NA
7zoq,ELECTRON MICROSCOPY,3.20,315133.9,315.13,3,NA
8acb,ELECTRON MICROSCOPY,2.60,26695.3,26.70,2,NA
8acc,ELECTRON MICROSCOPY,2.90,35768.7,35.77,2,NA
8as7,ELECTRON MICROSCOPY,2.60,258745.4,258.75,4,NA
8asd,ELECTRON MICROSCOPY,2.60,265196.4,265.20,5,NA
8b9g,ELECTRON MICROSCOPY,2.86,133481.8,133.48,2,NA
8b9i,ELECTRON MICROSCOPY,2.95,134089.2,134.09,2,NA
8bf5,ELECTRON MICROSCOPY,2.96,280021.2,280.02,6,NA
8bf8,ELECTRON MICROSCOPY,2.80,94892.9,94.89,2,NA
8c83,ELECTRON MICROSCOPY,3.00,910077.2,910.08,18,NA
8c99,ELECTRON MICROSCOPY,3.29,1062738.8,1062.74,11,NA
8ca7,ELECTRON MICROSCOPY,2.06,624672.9,624.67,9,NA
8caz,ELECTRON MICROSCOPY,2.11,641712.3,641.71,10,NA
8cbk,ELECTRON MICROSCOPY,2.76,247125.0,247.12,7,NA
8cbm,ELECTRON MICROSCOPY,3.14,222923.3,222.92,7,NA
8cf1,ELECTRON MICROSCOPY,1.82,651527.7,651.53,10,NA
8cf8,ELECTRON MICROSCOPY,2.20,633898.3,633.90,9,NA
8cgi,ELECTRON MICROSCOPY,1.89,615003.8,615.00,9,NA
8cvo,ELECTRON MICROSCOPY,2.95,630562.5,630.56,9,NA
8cwo,ELECTRON MICROSCOPY,2.84,696346.2,696.35,15,NA
8cx0,ELECTRON MICROSCOPY,2.70,122354.4,122.35,6,NA
8d4b,ELECTRON MICROSCOPY,2.92,165258.9,165.26,3,NA
8d9f,ELECTRON MICROSCOPY,2.71,229988.2,229.99,3,NA
8d9g,ELECTRON MICROSCOPY,2.57,244445.6,244.45,4,NA
8dex,ELECTRON MICROSCOPY,2.70,364125.7,364.13,12,NA
8dfs,ELECTRON MICROSCOPY,3.00,374057.3,374.06,13,NA
8dfv,ELECTRON MICROSCOPY,3.06,324986.0,324.99,3,NA
8dg5,ELECTRON MICROSCOPY,3.26,324679.8,324.68,3,NA
8dvs,ELECTRON MICROSCOPY,3.00,127289.8,127.29,2,NA
8dvu,ELECTRON MICROSCOPY,2.90,127289.8,127.29,2,NA
8e2a,ELECTRON MICROSCOPY,2.80,106662.4,106.66,2,NA
8e3i,ELECTRON MICROSCOPY,2.53,258090.5,258.09,4,NA
8eex,ELECTRON MICROSCOPY,2.95,283655.6,283.66,3,NA
8eey,ELECTRON MICROSCOPY,2.53,355910.6,355.91,5,NA
8ewg,ELECTRON MICROSCOPY,2.90,162884.2,162.88,2,NA
8eyq,ELECTRON MICROSCOPY,3.30,733525.8,733.53,18,NA
8fni,ELECTRON MICROSCOPY,3.40,527259.7,527.26,11,NA
8fvi,ELECTRON MICROSCOPY,3.24,126810.7,126.81,8,NA
8fyh,ELECTRON MICROSCOPY,3.40,928455.6,928.46,13,NA
8g6r,ELECTRON MICROSCOPY,3.30,137154.6,137.15,5,NA
8g9s,ELECTRON MICROSCOPY,3.40,373841.7,373.84,15,NA
8gna,ELECTRON MICROSCOPY,2.80,222148.0,222.15,3,NA
8gs2,ELECTRON MICROSCOPY,2.84,315111.0,315.11,4,NA
8gwn,ELECTRON MICROSCOPY,3.38,324704.2,324.70,9,NA
8gzr,ELECTRON MICROSCOPY,2.80,191745.8,191.75,3,NA
8h0i,ELECTRON MICROSCOPY,2.80,247988.3,247.99,12,NA
8h2h,ELECTRON MICROSCOPY,3.20,365389.9,365.39,3,NA
8hj4,ELECTRON MICROSCOPY,3.10,183160.1,183.16,3,NA
8ibz,ELECTRON MICROSCOPY,3.04,188889.3,188.89,2,NA
8j62,ELECTRON MICROSCOPY,2.50,247293.6,247.29,12,NA
8jft,ELECTRON MICROSCOPY,3.31,169250.8,169.25,3,NA
8jsl,ELECTRON MICROSCOPY,2.95,408440.7,408.44,6,NA
8jtr,ELECTRON MICROSCOPY,3.21,172868.4,172.87,2,NA
8kd9,ELECTRON MICROSCOPY,2.87,385160.4,385.16,17,NA
8kgf,ELECTRON MICROSCOPY,2.90,171437.8,171.44,2,NA
8kie,ELECTRON MICROSCOPY,2.50,1010039.1,1010.04,4,NA
8oue,ELECTRON MICROSCOPY,2.70,415061.3,415.06,10,NA
8p0b,ELECTRON MICROSCOPY,2.87,261635.2,261.64,5,NA
8p0u,ELECTRON MICROSCOPY,2.92,261635.2,261.64,5,NA
8p1n,ELECTRON MICROSCOPY,2.79,257210.3,257.21,2,NA
8pm0,ELECTRON MICROSCOPY,2.90,285614.0,285.61,6,NA
8pnf,ELECTRON MICROSCOPY,2.90,95474.5,95.47,5,NA
8pnp,ELECTRON MICROSCOPY,2.49,280645.5,280.65,5,NA
8psq,ELECTRON MICROSCOPY,2.65,184399.4,184.40,5,NA
8pss,ELECTRON MICROSCOPY,2.83,184399.4,184.40,5,NA
8psx,ELECTRON MICROSCOPY,2.96,190890.1,190.89,6,NA
8psz,ELECTRON MICROSCOPY,2.42,203626.6,203.63,7,NA
8pt2,ELECTRON MICROSCOPY,2.59,184215.1,184.22,5,NA
8ptg,ELECTRON MICROSCOPY,2.90,314114.9,314.11,7,NA
8pth,ELECTRON MICROSCOPY,2.73,184215.1,184.22,5,NA
8ptj,ELECTRON MICROSCOPY,2.86,184215.1,184.22,5,NA
8q9t,ELECTRON MICROSCOPY,2.84,408244.6,408.24,5,NA
8qca,ELECTRON MICROSCOPY,2.84,436589.8,436.59,6,NA
8qcf,ELECTRON MICROSCOPY,2.55,581473.9,581.47,13,NA
8qgt,ELECTRON MICROSCOPY,2.80,257523.3,257.52,2,NA
8qh3,ELECTRON MICROSCOPY,2.81,257523.3,257.52,2,NA
8r3z,ELECTRON MICROSCOPY,3.40,102181.9,102.18,2,NA
8r60,ELECTRON MICROSCOPY,3.23,285079.8,285.08,6,NA
8r8r,ELECTRON MICROSCOPY,2.79,245167.4,245.17,5,NA
8rr1,ELECTRON MICROSCOPY,2.93,263145.7,263.15,7,NA
8rr3,ELECTRON MICROSCOPY,3.40,265180.8,265.18,7,NA
8s9t,ELECTRON MICROSCOPY,2.52,332877.1,332.88,6,NA
8s9u,ELECTRON MICROSCOPY,2.77,352142.5,352.14,7,NA
8s9v,ELECTRON MICROSCOPY,3.00,352047.4,352.05,7,NA
8sq9,ELECTRON MICROSCOPY,2.90,200940.1,200.94,7,NA
8t2s,ELECTRON MICROSCOPY,3.00,260278.3,260.28,2,NA
8tdw,ELECTRON MICROSCOPY,3.04,292938.0,292.94,6,NA
8ub9,ELECTRON MICROSCOPY,3.07,259569.2,259.57,9,NA
8uba,ELECTRON MICROSCOPY,3.20,259569.2,259.57,9,NA
8ubb,ELECTRON MICROSCOPY,3.23,259553.2,259.55,9,NA
8ubc,ELECTRON MICROSCOPY,3.29,253293.4,253.29,8,NA
8ud3,ELECTRON MICROSCOPY,2.67,263489.9,263.49,8,NA
8vv2,ELECTRON MICROSCOPY,2.60,120422.1,120.42,2,NA
8vvd,ELECTRON MICROSCOPY,3.00,120422.1,120.42,2,NA
8w1o,ELECTRON MICROSCOPY,2.80,1301149.9,1301.15,14,NA
8w2o,ELECTRON MICROSCOPY,3.49,725147.1,725.15,18,NA
8w35,ELECTRON MICROSCOPY,2.61,40883.8,40.88,3,NA
8wf8,ELECTRON MICROSCOPY,2.59,149022.6,149.02,2,NA
8wf9,ELECTRON MICROSCOPY,3.13,160778.7,160.78,3,NA
8wif,ELECTRON MICROSCOPY,2.90,837622.7,837.62,23,NA
8wmc,ELECTRON MICROSCOPY,2.90,284379.0,284.38,3,NA
8wml,ELECTRON MICROSCOPY,2.86,203409.3,203.41,3,NA
8y9l,ELECTRON MICROSCOPY,3.00,120067.7,120.07,2,NA
8ye6,ELECTRON MICROSCOPY,2.95,205227.5,205.23,3,NA
8yh9,ELECTRON MICROSCOPY,3.35,340420.4,340.42,10,NA
8yhd,ELECTRON MICROSCOPY,2.93,525352.8,525.35,15,NA
8yig,ELECTRON MICROSCOPY,3.15,539587.6,539.59,6,NA
8yii,ELECTRON MICROSCOPY,3.42,269769.8,269.77,3,NA
8z3k,ELECTRON MICROSCOPY,3.19,429019.7,429.02,8,NA
8z3p,ELECTRON MICROSCOPY,3.40,425189.4,425.19,9,NA
8z4j,ELECTRON MICROSCOPY,2.97,481045.7,481.05,13,NA
8z4l,ELECTRON MICROSCOPY,2.85,503301.3,503.30,14,NA
8z85,ELECTRON MICROSCOPY,2.30,258653.4,258.65,5,NA
8z8n,ELECTRON MICROSCOPY,2.79,258653.4,258.65,5,NA
8z90,ELECTRON MICROSCOPY,2.87,258653.4,258.65,5,NA
8zyc,ELECTRON MICROSCOPY,2.99,119695.5,119.70,4,NA
9c77,ELECTRON MICROSCOPY,3.20,407405.3,407.41,9,NA
9cgv,ELECTRON MICROSCOPY,2.70,190621.1,190.62,6,NA
9dei,ELECTRON MICROSCOPY,2.99,672047.5,672.05,17,NA
9dpa,ELECTRON MICROSCOPY,3.00,160735.4,160.74,3,NA
9dpb,ELECTRON MICROSCOPY,2.90,160735.4,160.74,3,NA
9dpl,ELECTRON MICROSCOPY,2.80,169286.6,169.29,5,NA
9eca,ELECTRON MICROSCOPY,3.19,137180.8,137.18,3,NA
9ecb,ELECTRON MICROSCOPY,3.15,137195.8,137.20,3,NA
9ecc,ELECTRON MICROSCOPY,3.32,137195.8,137.20,3,NA
9ecd,ELECTRON MICROSCOPY,3.47,137195.8,137.20,3,NA
9enb,ELECTRON MICROSCOPY,2.66,159372.7,159.37,4,NA
9ere,ELECTRON MICROSCOPY,2.82,240071.3,240.07,4,NA
9erf,ELECTRON MICROSCOPY,2.64,236602.4,236.60,4,NA
9ey0,ELECTRON MICROSCOPY,2.78,261612.2,261.61,7,NA
9ey1,ELECTRON MICROSCOPY,2.90,279454.7,279.45,7,NA
9eyi,ELECTRON MICROSCOPY,2.75,192586.2,192.59,5,NA
9eyj,ELECTRON MICROSCOPY,2.97,127860.2,127.86,3,NA
9eyk,ELECTRON MICROSCOPY,2.84,192550.2,192.55,5,NA
9f0j,ELECTRON MICROSCOPY,3.35,126258.9,126.26,3,NA
9g25,ELECTRON MICROSCOPY,2.89,1120412.0,1120.41,14,NA
9g9a,ELECTRON MICROSCOPY,2.83,284175.0,284.17,9,NA
9g9c,ELECTRON MICROSCOPY,2.72,299196.9,299.20,10,NA
9g9e,ELECTRON MICROSCOPY,2.87,284175.0,284.17,9,NA
9g9f,ELECTRON MICROSCOPY,2.93,299196.9,299.20,10,NA
9g9g,ELECTRON MICROSCOPY,3.38,339220.7,339.22,12,NA
9g9h,ELECTRON MICROSCOPY,2.99,299196.9,299.20,10,NA
9g9i,ELECTRON MICROSCOPY,3.31,299196.9,299.20,10,NA
9g9k,ELECTRON MICROSCOPY,3.34,339220.7,339.22,12,NA
9gat,ELECTRON MICROSCOPY,3.20,492860.5,492.86,16,NA
9gch,ELECTRON MICROSCOPY,1.90,172469.9,172.47,6,NA
9gcl,ELECTRON MICROSCOPY,3.00,198047.9,198.05,10,NA
9gcm,ELECTRON MICROSCOPY,3.10,143102.8,143.10,4,NA
9gju,ELECTRON MICROSCOPY,2.80,577856.5,577.86,7,NA
9gms,ELECTRON MICROSCOPY,1.98,195115.9,195.12,4,NA
9gmt,ELECTRON MICROSCOPY,1.93,195218.0,195.22,4,NA
9gmw,ELECTRON MICROSCOPY,3.00,240116.3,240.12,3,NA
9gmx,ELECTRON MICROSCOPY,2.82,240071.3,240.07,4,NA
9h8g,ELECTRON MICROSCOPY,2.09,654645.9,654.65,13,NA
9h90,ELECTRON MICROSCOPY,2.80,735204.5,735.20,18,NA
9h9i,ELECTRON MICROSCOPY,3.20,660309.2,660.31,11,NA
9hai,ELECTRON MICROSCOPY,3.01,1143236.3,1143.24,18,NA
9hfl,ELECTRON MICROSCOPY,2.62,351324.8,351.32,7,NA
9ij0,ELECTRON MICROSCOPY,3.20,120490.0,120.49,3,NA
9ij3,ELECTRON MICROSCOPY,2.60,125916.2,125.92,3,NA
9ij4,ELECTRON MICROSCOPY,2.70,125858.0,125.86,3,NA
9ij5,ELECTRON MICROSCOPY,2.80,125858.0,125.86,3,NA
9iob,ELECTRON MICROSCOPY,2.62,690673.5,690.67,12,NA
9j9e,ELECTRON MICROSCOPY,2.97,538311.5,538.31,15,NA
9jhc,ELECTRON MICROSCOPY,3.09,453635.1,453.64,18,NA
9k1o,ELECTRON MICROSCOPY,3.30,274920.4,274.92,6,NA
9k6q,ELECTRON MICROSCOPY,2.70,107136.0,107.14,3,NA
9k6r,ELECTRON MICROSCOPY,2.70,104670.5,104.67,3,NA
9kbz,ELECTRON MICROSCOPY,3.18,243353.7,243.35,4,NA
9ko9,ELECTRON MICROSCOPY,2.70,207320.8,207.32,2,NA
9ktw,ELECTRON MICROSCOPY,2.60,125983.0,125.98,2,NA
9ku4,ELECTRON MICROSCOPY,2.40,125924.9,125.92,2,NA
9kwb,ELECTRON MICROSCOPY,2.60,154307.4,154.31,3,NA
9l7c,ELECTRON MICROSCOPY,2.97,404815.8,404.82,10,NA
9l8m,ELECTRON MICROSCOPY,2.90,93098.3,93.10,3,NA
9lck,ELECTRON MICROSCOPY,2.98,182783.6,182.78,5,NA
9lou,ELECTRON MICROSCOPY,3.36,84511.4,84.51,3,NA
9m31,ELECTRON MICROSCOPY,2.86,127990.0,127.99,2,NA
9m33,ELECTRON MICROSCOPY,3.27,128176.5,128.18,3,NA
9m48,ELECTRON MICROSCOPY,2.60,252413.6,252.41,8,NA
9m49,ELECTRON MICROSCOPY,2.78,272110.3,272.11,10,NA
9m7u,ELECTRON MICROSCOPY,3.18,154444.2,154.44,4,NA
9m7w,ELECTRON MICROSCOPY,3.03,183420.4,183.42,4,NA
9muo,ELECTRON MICROSCOPY,3.30,123146.1,123.15,6,NA
9mw9,ELECTRON MICROSCOPY,3.00,677303.5,677.30,33,NA
9mx3,ELECTRON MICROSCOPY,3.00,92710.9,92.71,3,NA
9mx5,ELECTRON MICROSCOPY,3.10,92710.9,92.71,3,NA
9nep,ELECTRON MICROSCOPY,2.70,81113.5,81.11,2,NA
9nfa,ELECTRON MICROSCOPY,2.70,129105.8,129.11,3,NA
9nh5,ELECTRON MICROSCOPY,2.82,438087.5,438.09,13,NA
9nh6,ELECTRON MICROSCOPY,2.82,438087.5,438.09,13,NA
9njb,ELECTRON MICROSCOPY,2.15,271898.6,271.90,4,NA
9nlv,ELECTRON MICROSCOPY,2.60,633364.3,633.36,12,NA
9no0,ELECTRON MICROSCOPY,2.08,255134.5,255.13,4,NA
9no4,ELECTRON MICROSCOPY,2.67,665370.2,665.37,18,NA
9nq7,ELECTRON MICROSCOPY,2.72,709773.4,709.77,20,NA
9nyy,ELECTRON MICROSCOPY,2.73,219059.1,219.06,4,NA
9owx,ELECTRON MICROSCOPY,2.70,184397.0,184.40,3,NA
9owy,ELECTRON MICROSCOPY,2.69,184397.0,184.40,3,NA
9oxe,ELECTRON MICROSCOPY,2.53,258559.7,258.56,4,NA
9oy8,ELECTRON MICROSCOPY,2.70,792499.3,792.50,21,NA
9p38,ELECTRON MICROSCOPY,2.50,1174549.4,1174.55,18,NA
9pz0,ELECTRON MICROSCOPY,3.00,185532.9,185.53,6,NA
9qb2,ELECTRON MICROSCOPY,3.00,560539.1,560.54,11,NA
9r7r,ELECTRON MICROSCOPY,2.39,1148952.0,1148.95,72,NA
9r7s,ELECTRON MICROSCOPY,2.54,1148952.0,1148.95,72,NA
9r7t,ELECTRON MICROSCOPY,2.54,1148952.0,1148.95,72,NA
9r81,ELECTRON MICROSCOPY,2.33,1145997.7,1146.00,72,NA
9r9z,ELECTRON MICROSCOPY,3.40,1262311.2,1262.31,72,NA
9raf,ELECTRON MICROSCOPY,2.15,289760.4,289.76,6,NA
9rag,ELECTRON MICROSCOPY,1.99,289149.1,289.15,6,NA
9rv1,ELECTRON MICROSCOPY,2.62,151599.4,151.60,5,NA
9rvy,ELECTRON MICROSCOPY,3.00,442467.7,442.47,6,NA
9rw0,ELECTRON MICROSCOPY,3.40,442467.7,442.47,6,NA
9rw3,ELECTRON MICROSCOPY,3.20,446826.3,446.83,6,NA
9rwb,ELECTRON MICROSCOPY,3.40,452943.8,452.94,5,NA
9rwz,ELECTRON MICROSCOPY,3.10,689824.8,689.82,11,NA
9s1e,ELECTRON MICROSCOPY,2.89,101258.1,101.26,2,NA
9sar,ELECTRON MICROSCOPY,2.80,158873.1,158.87,5,NA
9sjo,ELECTRON MICROSCOPY,3.07,340420.4,340.42,10,NA
9ss0,ELECTRON MICROSCOPY,3.00,744735.9,744.74,18,NA
9ss2,ELECTRON MICROSCOPY,2.90,817713.2,817.71,23,NA
9t0e,ELECTRON MICROSCOPY,2.30,472757.9,472.76,3,NA
9t0z,ELECTRON MICROSCOPY,2.87,800063.8,800.06,22,NA
9u5p,ELECTRON MICROSCOPY,2.96,116472.8,116.47,7,NA
9ubl,ELECTRON MICROSCOPY,2.77,423898.4,423.90,7,NA
9ubm,ELECTRON MICROSCOPY,2.94,425828.7,425.83,8,NA
9ubo,ELECTRON MICROSCOPY,2.84,427759.0,427.76,9,NA
9uie,ELECTRON MICROSCOPY,2.88,218155.6,218.16,3,NA
9vcl,ELECTRON MICROSCOPY,3.08,91875.7,91.88,4,NA
9vx1,ELECTRON MICROSCOPY,2.77,222606.7,222.61,6,NA
